tfidf_feature_id,token,token_id,train_document_frequency,idf,train_token_count
0,the,2,16312,1.926233,24977
1,i,3,13785,2.094542,21164
2,to,4,12149,2.220866,16352
3,and,5,11379,2.286338,15170
4,a,6,10351,2.381016,13515
5,of,7,8796,2.543785,10739
6,it,8,8000,2.638629,10440
7,is,9,8777,2.545947,10199
8,in,10,7728,2.673216,8965
9,for,11,7458,2.708774,8796
10,this,12,7315,2.728132,8294
11,you,13,5437,3.024784,6995
12,my,14,5727,2.972829,6867
13,on,15,5977,2.930109,6812
14,not,16,5848,2.951925,6809
15,that,17,5162,3.076678,5936
16,game,18,4562,3.200215,5529
17,com,19,5289,3.052377,5472
18,with,20,4566,3.199339,5000
19,have,21,4069,3.314553,4608
20,so,22,4054,3.318245,4503
21,be,23,3665,3.419094,3967
22,just,24,3563,3.447312,3847
23,are,25,3435,3.483888,3835
24,me,26,3357,3.50685,3746
25,but,27,3455,3.478084,3698
26,all,28,3151,3.570158,3568
27,can,29,3269,3.533406,3548
28,was,30,2738,3.710603,3148
29,at,31,2770,3.698987,2976
30,am,32,2590,3.766152,2923
31,like,33,2473,3.812359,2685
32,do,34,2407,3.839399,2675
33,t,35,2332,3.871041,2561
34,out,36,2344,3.86591,2524
35,from,37,2384,3.848996,2517
36,s,38,2217,3.92159,2481
37,your,39,2218,3.921139,2474
38,will,40,2234,3.913954,2464
39,now,41,2332,3.871041,2459
40,we,42,2108,3.971982,2448
41,get,43,2190,3.933837,2400
42,pic,44,2327,3.873186,2338
43,twitter,45,2213,3.923395,2236
44,they,46,1941,4.054477,2220
45,as,47,1837,4.109517,2191
46,johnson,48,1071,4.648669,2155
47,play,49,1995,4.02705,2147
48,one,50,1925,4.06275,2047
49,new,51,1872,4.090654,2027
50,what,52,1873,4.09012,1990
51,if,53,1849,4.10301,1984
52,about,54,1835,4.110606,1969
53,good,55,1852,4.10139,1962
54,no,56,1710,4.181118,1960
55,an,57,1834,4.111151,1930
56,really,58,1769,4.147216,1890
57,when,59,1757,4.154019,1855
58,unk,60,1665,4.20777,1833
59,up,61,1729,4.170074,1829
60,more,62,1700,4.186979,1808
61,has,63,1697,4.188744,1805
62,love,64,1620,4.235152,1747
63,or,65,1580,4.260138,1695
64,why,66,1567,4.268395,1690
65,how,67,1598,4.248817,1667
66,by,68,1569,4.26712,1638
67,shit,69,1467,4.334295,1579
68,time,70,1480,4.325478,1551
69,some,71,1427,4.361921,1526
70,been,72,1439,4.353552,1520
71,still,73,1418,4.368243,1489
72,amazon,74,1220,4.518525,1454
73,m,75,1223,4.516071,1383
74,games,76,1275,4.474465,1382
75,people,77,1229,4.511181,1363
