entity,count,percent
Microsoft,2400,3.21
TomClancysRainbowSix,2400,3.21
MaddenNFL,2400,3.21
LeagueOfLegends,2394,3.21
CallOfDuty,2394,3.21
Verizon,2382,3.19
CallOfDutyBlackopsColdWar,2376,3.18
ApexLegends,2376,3.18
Facebook,2370,3.17
Dota2,2364,3.17
WorldOfCraft,2364,3.17
NBA2K,2352,3.15
Battlefield,2346,3.14
TomClancysGhostRecon,2346,3.14
FIFA,2340,3.13
Overwatch,2334,3.13
Xbox(Xseries),2334,3.13
johnson&johnson,2328,3.12
Amazon,2316,3.1
PlayStation5(PS5),2310,3.09
HomeDepot,2310,3.09
CS-GO,2304,3.09
GrandTheftAuto(GTA),2304,3.09
Cyberpunk2077,2304,3.09
Google,2298,3.08
Hearthstone,2298,3.08
Nvidia,2298,3.08
Borderlands,2286,3.06
Fortnite,2274,3.04
PlayerUnknownsBattlegrounds(PUBG),2274,3.04
RedDeadRedemption(RDR),2262,3.03
AssassinsCreed,2244,3.0
