tweet_id,entity,sentiment,tweet_text,model_text,analysis_text
136,Amazon,Negative,a,a,a
156,Amazon,Negative,a,a,a
3799,Cyberpunk2077,Negative,a,a,a
4899,GrandTheftAuto(GTA),Negative,a,a,a
5069,GrandTheftAuto(GTA),Negative,a,a,a
5880,HomeDepot,Negative,a,a,a
6777,Fortnite,Negative,a,a,a
7646,MaddenNFL,Negative,a,a,a
7715,MaddenNFL,Negative,a,a,a
7901,MaddenNFL,Negative,a,a,a
8304,Microsoft,Negative,a,a,a
10871,TomClancysGhostRecon,Negative,a,a,a
10903,TomClancysGhostRecon,Negative,a,a,a
11570,TomClancysRainbowSix,Negative,a,a,a
11934,Verizon,Negative,a,a,a
12410,WorldOfCraft,Negative,a,a,a
574,ApexLegends,Neutral,a,a,a
645,ApexLegends,Neutral,a,a,a
1150,AssassinsCreed,Neutral,. A,a,a
4140,CS-GO,Neutral,A,a,a
4207,CS-GO,Neutral,a,a,a
4220,CS-GO,Neutral,a,a,a
4663,Google,Neutral,a,a,a
5226,Hearthstone,Neutral,a,a,a
5476,Hearthstone,Neutral,a,a,a
5596,Hearthstone,Neutral,A,a,a
5936,HomeDepot,Neutral,. A @Lowes.,a,a
7728,MaddenNFL,Neutral,a,a,a
8578,NBA2K,Neutral,a,a,a
10536,RedDeadRedemption(RDR),Neutral,a,a,a
10781,RedDeadRedemption(RDR),Neutral,a,a,a
10865,TomClancysGhostRecon,Neutral,a,a,a
11159,TomClancysGhostRecon,Neutral,a,a,a
12773,WorldOfCraft,Neutral,a,a,a
12966,Xbox(Xseries),Neutral,a,a,a
1578,Battlefield,Positive,a,a,a
3416,Facebook,Positive,a,a,a
3704,Cyberpunk2077,Positive,a,a,a
3790,Cyberpunk2077,Positive,a,a,a
3965,Cyberpunk2077,Positive,a,a,a
3993,Cyberpunk2077,Positive,a,a,a
4097,CS-GO,Positive,a,a,a
4196,CS-GO,Positive,a,a,a
4969,GrandTheftAuto(GTA),Positive,a,a,a
5458,Hearthstone,Positive,a,a,a
7374,LeagueOfLegends,Positive,a,a,a
7518,LeagueOfLegends,Positive,a,a,a
9145,Nvidia,Positive,a,a,a
10395,PlayerUnknownsBattlegrounds(PUBG),Positive,A,a,a
10631,RedDeadRedemption(RDR),Positive,a,a,a
10766,RedDeadRedemption(RDR),Positive,a,a,a
368,Amazon,Negative,about,about,about
9308,Overwatch,Negative,about,about,about
10904,TomClancysGhostRecon,Negative,about,about,about
11505,TomClancysRainbowSix,Negative,about,about,about
1148,AssassinsCreed,Positive,about,about,about
2364,CallOfDuty,Positive,about,about,about
5415,Hearthstone,Positive,about,about,about
8420,NBA2K,Positive,about,about,about
11438,TomClancysRainbowSix,Positive,about,about,about
