token,count,percent_of_tokens
not,10297,1.5739
game,9748,1.49
com,8147,1.2452
play,6073,0.9282
like,3966,0.6062
out,3611,0.5519
fuck,3482,0.5322
pic,3316,0.5068
real,3235,0.4945
twitter,3160,0.483
johnson,3004,0.4592
time,2984,0.4561
one,2933,0.4483
new,2868,0.4384
good,2837,0.4336
no,2827,0.4321
love,2622,0.4008
unk,2489,0.3804
look,2440,0.3729
shit,2248,0.3436
thank,2185,0.334
people,2144,0.3277
still,2123,0.3245
amazon,2066,0.3158
year,2061,0.315
see,2027,0.3098
make,1921,0.2936
best,1919,0.2933
facebook,1914,0.2926
work,1878,0.287
microsoft,1842,0.2815
even,1841,0.2814
dead,1808,0.2763
great,1798,0.2748
rhandlerr,1744,0.2666
ps,1743,0.2664
xbox,1733,0.2649
go,1726,0.2638
want,1699,0.2597
please,1683,0.2572
google,1661,0.2539
fix,1651,0.2524
back,1649,0.252
red,1642,0.251
know,1615,0.2468
home,1601,0.2447
us,1590,0.243
only,1569,0.2398
call,1564,0.2391
much,1548,0.2366
going,1538,0.2351
nvidia,1457,0.2227
verizon,1449,0.2215
watch,1447,0.2212
fifa,1415,0.2163
first,1413,0.216
wait,1410,0.2155
tv,1349,0.2062
day,1333,0.2037
fun,1329,0.2031
video,1313,0.2007
today,1306,0.1996
bad,1299,0.1985
think,1274,0.1947
borderland,1263,0.193
player,1263,0.193
also,1261,0.1927
need,1245,0.1903
thing,1243,0.19
ever,1231,0.1882
help,1223,0.1869
world,1180,0.1804
every,1161,0.1775
redemption,1157,0.1768
buy,1152,0.1761
never,1139,0.1741
try,1124,0.1718
legend,1114,0.1703
depot,1102,0.1684
start,1100,0.1681
say,1095,0.1674
sery,1094,0.1672
right,1090,0.1666
gta,1076,0.1645
news,1075,0.1643
feel,1072,0.1639
team,1066,0.1629
pubg,1063,0.1625
excit,1055,0.1613
last,1054,0.1611
amaz,1048,0.1602
gett,1047,0.16
off,1046,0.1599
twitch,1042,0.1593
final,1040,0.159
actual,1033,0.1579
league,1012,0.1547
come,1011,0.1545
stream,989,0.1512
damn,988,0.151
