token,count,percent_of_tokens
the,36144,3.2262
i,30125,2.6889
to,23790,2.1235
and,21743,1.9408
a,19540,1.7441
of,15636,1.3957
it,15047,1.3431
is,14599,1.3031
in,12745,1.1376
for,12518,1.1173
this,11792,1.0525
not,10295,0.9189
you,9965,0.8895
my,9812,0.8758
on,9776,0.8726
that,8989,0.8024
game,7796,0.6959
com,7741,0.691
with,7196,0.6423
have,6994,0.6243
so,6416,0.5727
be,5682,0.5072
are,5611,0.5008
me,5554,0.4957
just,5496,0.4906
but,5210,0.465
all,5179,0.4623
can,5069,0.4525
was,4471,0.3991
at,4355,0.3887
do,4237,0.3782
am,4226,0.3772
like,3856,0.3442
out,3606,0.3219
t,3605,0.3218
will,3586,0.3201
s,3572,0.3188
from,3566,0.3183
your,3532,0.3153
now,3506,0.3129
we,3481,0.3107
get,3420,0.3053
pic,3316,0.296
they,3291,0.2938
twitter,3160,0.2821
as,3103,0.277
play,3028,0.2703
johnson,3004,0.2681
one,2933,0.2618
if,2863,0.2555
new,2861,0.2554
no,2827,0.2523
good,2825,0.2522
what,2821,0.2518
about,2808,0.2506
has,2767,0.247
an,2728,0.2435
really,2685,0.2397
when,2642,0.2358
up,2592,0.2314
more,2572,0.2296
time,2512,0.2242
love,2502,0.2233
unk,2489,0.2222
or,2449,0.2186
how,2410,0.2151
why,2402,0.2144
by,2341,0.209
some,2325,0.2075
shit,2222,0.1983
been,2156,0.1924
people,2137,0.1907
still,2123,0.1895
amazon,2063,0.1841
m,2040,0.1821
games,1948,0.1739
best,1919,0.1713
facebook,1914,0.1708
playing,1864,0.1664
got,1849,0.165
microsoft,1842,0.1644
k,1832,0.1635
there,1831,0.1634
see,1802,0.1608
even,1776,0.1585
dead,1773,0.1583
great,1769,0.1579
because,1756,0.1567
rhandlerr,1744,0.1557
ps,1743,0.1556
xbox,1731,0.1545
go,1726,0.1541
fuck,1702,0.1519
please,1679,0.1499
fucking,1661,0.1483
google,1661,0.1483
would,1650,0.1473
red,1642,0.1466
had,1634,0.1458
who,1623,0.1449
