entity,count,percent
TomClancysGhostRecon,2254,3.83
TomClancysRainbowSix,2222,3.78
MaddenNFL,2216,3.77
Verizon,2135,3.63
NBA2K,2121,3.6
Microsoft,2112,3.59
Nvidia,2101,3.57
WorldOfCraft,2084,3.54
ApexLegends,2084,3.54
johnson&johnson,2058,3.5
Amazon,2054,3.49
Hearthstone,1991,3.38
LeagueOfLegends,1985,3.37
Borderlands,1955,3.32
RedDeadRedemption(RDR),1948,3.31
HomeDepot,1926,3.27
AssassinsCreed,1897,3.22
Dota2,1822,3.1
PlayStation5(PS5),1795,3.05
Cyberpunk2077,1709,2.9
FIFA,1695,2.88
Google,1686,2.87
CallOfDutyBlackopsColdWar,1684,2.86
CallOfDuty,1648,2.8
Facebook,1616,2.75
Overwatch,1568,2.66
CS-GO,1562,2.65
Xbox(Xseries),1496,2.54
GrandTheftAuto(GTA),1458,2.48
Fortnite,1351,2.3
Battlefield,1339,2.28
PlayerUnknownsBattlegrounds(PUBG),1269,2.16
